Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,979,41,ALBERTO GOTTA,M,ITA,22   26. | 17+  42. [37.86],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,80,42,MIKHAIL KOCHETKOV,M,RUS,20+  53. | 21+  21. [39.87],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1367,43,TOMAS BINTER,M,CZE,21+  36. | 17+  42. [41.42],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,3131,44,YANNICK FLOHÉ,M,GER,21   38. | 21   40. [42.43],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,172,45,VLADISLAV SHEVCHENKO,M,RUS,22   26. | 15+  59. [42.78],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,3112,46,RUBEN FIRNENBURG,M,GER,21   38. | 17+  42. [45.99],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1389,46,JAKUB KONECNY,M,CZE,21   38. | 17+  42. [45.99],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1149,46,ZAN LOVENJAK SUDAR,M,SLO,21   38. | 17+  42. [45.99],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1138,46,ANZE PEHARC,M,SLO,21   38. | 17+  42. [45.99],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1256,46,NICOLAI UZNIK,M,AUT,21   38. | 17+  42. [45.99],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1170,51,LUKA POTOCAR,M,SLO,21   38. | 17   53. [49.52],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1165,52,KLEMEN NOVAK,M,SLO,16+  61. | 19   41. [50.01],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,3036,53,NIKOLA KRAMARIC,M,CRO,20   54. | 17+  42. [50.38],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,113,54,VADIM MALSHCHUKOV,M,RUS,21   38. | 16+  57. [50.65],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,2840,55,MACIEJ DOBRZANSKI,M,POL,21   38. | 16   58. [51.09],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1385,56,DENIS PAIL,M,CZE,19+  55. | 17+  42. [51.53],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,3061,57,THILO JELDRIK SCHRÖTER,M,NOR,19+  55. | 17   53. [55.49],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,4003,58,OR MINIELY,M,ISR,18+  59. | 17   53. [56.71],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1505,59,OLEKSII KRYNETSKYI,M,UKR,17   60. | 17   53. [57.18],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1502,60,MYKHAYIL TKACHUK,M,UKR,19+  55. | 15+  59. [58.22],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1396,60,STEPAN VOLF,M,CZE,19+  55. | 15+  59. [58.22],,
