Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",880,51,STEFANO CARNATI,M,ITA,25+  56. | 34   43. [50.36],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2370,52,TAISEI HOMMA,M,JPN,28   51. | 33+  47. [50.44],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",905,53,DAVID OBERPRANTACHER,M,ITA,28+  44. | 32+  54. [50.84],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1713,54,JOSH LEVIN,M,USA,29   42. | 31+  57. [51.33],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1389,55,JAKUB KONECNY,M,CZE,25   59. | 33+  47. [53.44],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1946,56,TIMOTHY KANG,M,USA,28+  44. | 31+  57. [53.98],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",803,56,SERGIO VERDASCO URIZAL,M,ESP,28+  44. | 31+  57. [53.98],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2493,58,CAMPBELL HARRISON,M,AUS,25+  56. | 33   50. [54.18],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2840,59,MACIEJ DOBRZANSKI,M,POL,23+  64. | 33+  47. [56.07],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",523,60,MICKAEL MAWEM,M,FRA,28   51. | 31+  57. [57.32],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1558,61,JASON HOLOWACH,M,CAN,28+  44. | 29   70. [57.97],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",792,62,BITTOR ESPARTA FRADE,M,ESP,24   63. | 32+  54. [58.86],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",172,63,VLADISLAV SHEVCHENKO,M,RUS,28   51. | 31   68. [60.25],,
