Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",315,1,ANAK VERHOEVEN,BEL,TOP  1. | TOP  1. [4.90],TOP,TOP
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",3580,26,NIKKI VAN BERGEN,NED,39+  18. | 36+  33. [25.88],17+,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",3254,27,ANDREA KÜMIN,SUI,37+  25. | 44+  28. [26.96],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2277,28,MOE YOSHIMURA,JPN,39+  18. | 35+  37. [27.57],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",457,29,NOLWEN BERTHIER,FRA,36+  27. | 44+  28. [27.74],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2043,30,SEURAN HAN,KOR,36   28. | 41   31. [29.72],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1751,31,CLAIRE BUHRFEIND,USA,32.5+  36. | 45+  25. [30.51],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",539,32,LÉA MARIGO,FRA,32.5   38. | 45+  25. [31.33],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",859,33,ANDREA EBNER,ITA,33+  33. | 42   30. [31.70],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",977,34,SILVIA CASSOL,ITA,34+  31. | 36   35. [33.44],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",884,35,LISA DE MARTINI,ITA,33   35. | 36+  33. [34.24],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2488,36,LUCINDA ANN TURNBULL,AUS,33+  33. | 36   35. [34.49],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1136,37,VERONIKA MEKE,SLO,34+  31. | 28   43. [37.23],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",642,38,MOLLY THOMPSON-SMITH,GBR,32.5   38. | 35+  37. [38.25],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2349,39,SERIKA OKAWACHI,JPN,25+  45. | 39   32. [38.37],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2055,40,MINSEON KIM,KOR,32   40. | 35+  37. [38.99],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",4285,41,EVELYNE FUX,SUI,32.5+  36. | 24.5+  50. [42.93],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",653,42,JENNIFER WOOD,GBR,27+  42. | 28   43. [42.99],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1202,43,BARBARA BACHER,AUT,31+  41. | 27+  46. [43.66],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",4251,44,CHIARA MARIA CLOSTERMANN,GER,25+  45. | 28   43. [44.99],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2490,45,ROXY PERRY,AUS,23+  48. | 28+  42. [45.60],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1842,46,JULIA TALBOT,USA,19+  52. | 29   41. [46.17],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1368,47,GABRIELA VRABLIKOVA,CZE,25+  45. | 27+  46. [46.25],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",851,48,MANUELA VALSECCHI,ITA,27   43. | 24.5+  50. [46.60],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",895,49,ILARIA SCOLARIS,ITA,17   54. | 32+  40. [46.69],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",876,50,EVA SCROCCARO,ITA,26   44. | 24   52. [47.83],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",3865,51,MICHELLE KIM THEISEN,DEN,23+  48. | 27   48. [48.74],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1569,52,ALISON STEWART-PATTERSON,CAN,23+  48. | 25+  49. [49.25],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",3893,53,SOFIE PAULUS,GER,23+  48. | 20   56. [52.65],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1566,54,CHRISTY SPURRELL,CAN,17+  53. | 21+  53. [53.25],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1570,55,JAYLENE PRATT,CAN,9+  56. | 21+  53. [54.74],,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2419,56,MARIA GEORGIEVA,BUL,17   54. | 21   55. [54.75],,
