Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1488,61,MARGARYTA ZAKHAROVA,F,UKR,0T4Z 0 23,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",115,63,MARIIA MUSIENKO,F,RUS,0T3Z 0 6,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2941,63,DI NIU,F,CHN,0T3Z 0 6,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",779,63,ITZIAR ZABALA ZURINAGA,F,ESP,1T2Z 3 3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2326,66,MOMOKA KANEKO,F,JPN,0T4Z 0 7,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3203,66,JARA SPÄTE,F,SUI,0T4Z 0 7,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1769,68,LISA CHULICH,F,USA,0T3Z 0 7,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3078,69,MIE (MARIE THERESE) KASTET,F,NOR,0T3Z 0 4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",127,69,OLGA KUSHCH,F,RUS,0T3Z 0 10,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3254,69,ANDREA KÜMIN,F,SUI,0T3Z 0 4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3601,69,TIBA VROOM,F,NED,0T3Z 0 10,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",68,73,DINARA FAKHRITDINOVA,F,RUS,0T3Z 0 21,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3472,73,FATEMEH JAFARI MAHMODABADI,F,IRI,0T3Z 0 6,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",77,73,NATALIIA STEPANOVA,F,RUS,0T3Z 0 6,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3122,76,FREDERIKE FELL,F,GER,0T2Z 0 2,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3850,76,KATRINE VANDET SALLING,F,DEN,0T2Z 0 2,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",73,78,ANNA TSYGANOVA,F,RUS,0T3Z 0 8,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3444,79,KSENIYA KOPUSAVA,F,BLR,0T2Z 0 9,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3979,79,VALERI KREMER,F,ISR,0T3Z 0 9,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3437,79,ALIAKSANDRA MISIUKEVICH,F,BLR,0T2Z 0 9,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2106,82,HEEYEON PARK,F,KOR,0T3Z 0 10,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",97,83,DARIA MALYSHEVA,F,RUS,0T1Z 0 1,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3434,83,VOLHA RAK,F,BLR,0T1Z 0 1,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3439,83,DARIA TITKINA,F,BLR,0T3Z 0 23,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1404,86,KARINA BILKOVA,F,CZE,0T2Z 0 4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2857,87,PATRYCJA CHUDZIAK,F,POL,0T2Z 0 5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",4153,87,LOTINA DIANA,F,LAT,0T1Z 0 2,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1493,87,ALLA MARENYCH,F,UKR,0T2Z 0 5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3209,87,ANDREA ROJAS,F,ECU,0T2Z 0 5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1366,91,DANIELA KOTRBOVA,F,CZE,0T1Z 0 3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2834,92,EDYTA ROPEK,F,POL,0T1Z 0 8,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3479,93,BAHAREH BADRABADI,F,IRI,0T0Z 0 0,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",328,93,HELOÏSE DOUMONT,F,BEL,0T0Z 0 0,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",4159,93,CIRVELE KATRĪNA,F,LAT,0T0Z 0 0,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3482,93,HADIS NAZARIROBATI,F,IRI,0T0Z 0 0,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3438,93,KATSIARYNA PAHUDA,F,BLR,0T2Z 0 9,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",4160,98,ALISE ZVIGULE,F,LAT,0T1Z 0 2,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",131,99,VALERIIA DERIABINA,F,RUS,0T1Z 0 4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1543,100,YEVHENIIA CHERNIAVSKA,F,UKR,0T1Z 0 6,,
