Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,1568,41,ELISE SETHNA,CAN,2T6 3B7,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,863,43,ANNA BORELLA,ITA,2T7 5B11,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,643,43,TARA HAYES,GBR,2T3 4B8,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,3109,45,JOHANNA HOLFELD,GER,2T6 5B9,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,4260,45,SOFYA YOKOYAMA,SUI,2T7 3B8,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,2850,47,KATARZYNA EKWINSKA,POL,2T8 3B9,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,3979,47,VALERI KREMER,ISR,2T10 4B13,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,3850,49,KATRINE VANDET SALLING,DEN,1T1 4B7,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,3578,49,VERA ZIJLSTRA,NED,2T9 4B15,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,1243,51,JOHANNA FÄRBER,AUT,2T9 3B10,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,1488,51,MARGARYTA ZAKHAROVA,UKR,1T1 2B2,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,1363,53,DOMINIKA DUPALOVA,CZE,1T2 3B8,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,3060,53,TINA JOHNSEN HAFSAAS,NOR,2T10 4B13,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,2281,55,MIWA OBA,JPN,1T3 5B9,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,1227,55,JULIA PINGGERA,AUT,1T1 4B6,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,2800,57,ANNA LAITINEN,FIN,1T1 3B4,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,779,57,ITZIAR ZABALA ZURINAGA,ESP,1T3 3B7,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,1404,59,KARINA BILKOVA,CZE,1T2 2B3,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,859,59,ANDREA EBNER,ITA,1T4 4B9,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,2869,61,PAULINA KALANDYK,POL,1T5 4B17,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,4373,61,ANASTASIJA TERIOCHINA,LTU,1T3 3B13,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,4369,63,AGNIETE BALTRUNE,LTU,1T4 2B7,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,2841,63,OLGA NIEMIEC,POL,1T7 4B14,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,3887,65,TABEA SCHWAB,SUI,0T 3B9,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,2765,65,MÁRIA ČELKOVÁ,SVK,0T 4B10,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,4077,67,FATMA BASOGLU KABRAN,TUR,0T 0B,,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,1366,67,DANIELA KOTRBOVA,CZE,0T 3B12,,
