Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3127,35,MAX KLEESATTEL,GER,2T3Z 4 3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2017,37,ALEXANDER AVERDUNK,GER,2T3Z 4 6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2667,37,HANNES PUMAN,SWE,1T4Z 2 9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3126,39,KIM MARSCHNER,GER,2T3Z 4 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,11527,39,SOYA SHIMADA,JPN,1T4Z 2 10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,854,41,MARCELLO BOMBARDI,ITA,2T3Z 5 7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3131,41,YANNICK FLOHÉ,GER,1T3Z 1 3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,634,43,DAVID BARRANS,GBR,1T3Z 1 6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3061,43,THILO JELDRIK SCHRÖTER,NOR,2T3Z 5 10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1361,43,MARTIN STRANIK,CZE,2T3Z 5 10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1149,46,ZAN LOVENJAK SUDAR,SLO,1T3Z 2 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,165,47,NIKOLAI IARILOVETS,RUS,1T3Z 3 3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1245,47,JAN-LUCA POSCH,AUT,2T3Z 6 5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,532,49,SAM AVEZOU,FRA,2T3Z 11 13,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1926,49,ZACH GALLA,USA,1T3Z 3 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1489,49,FEDIR SAMOILOV,UKR,2T3Z 11 13,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2219,52,CHEUK-HEI HO,HKG,1T3Z 4 21,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,505,53,LEO AVEZOU,FRA,2T2Z 2 2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1741,53,SEAN BAILEY,USA,1T3Z 5 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1241,53,FLORIAN KLINGLER,AUT,2T2Z 2 2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,314,56,LOÏC TIMMERMANS,BEL,1T3Z 7 17,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,855,57,STEFANO GHISOLFI,ITA,1T2Z 2 3,,
