Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Vail (USA) 2019,1586,41,NATHAN SMITH,CAN,2T3Z 5 5,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019,7613,43,BASSA MAWEM,FRA,1T4Z 7 24,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019,645,43,WILLIAM RIDAL,GBR,1T4Z 1 5,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019,811,45,ALBERTO GINÉS LÓPEZ,ESP,1T3Z 4 16,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019,1713,45,JOSH LEVIN,USA,1T3Z 2 8,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019,1926,47,ZACH GALLA,USA,1T3Z 3 7,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019,4397,47,DIEGO LEQUERICA BUSCAGLIA,PER,1T3Z 7 4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019,1801,49,JOE GOODACRE,USA,1T3Z 5 7,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019,3211,49,CARLOS GRANJA,ECU,1T2Z 6 10,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019,7464,51,LEONARDO DE RIVERO HUAMAN,PER,1T2Z 4 9,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019,11651,51,FRANZ JOSEF WEBER,MEX,0T3Z 0 10,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019,1754,53,JOHN BROSLER,USA,0T2Z 0 4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019,9933,53,GERMAN DAVID SANCHEZ,MEX,0T1Z 0 6,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019,6403,55,ALEJANDRO MARTINEZ CORDERO,MEX,0T0Z 0 0,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019,3220,55,NICKOLAIE RIVADENEIRA,ECU,0T2Z 0 11,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019,11652,57,FRANKLIN CARDENAS VICENTE,PER,0T0Z 0 0,,
